Game,Minutes Played
1701 A.D.: Gold Edition,0
1701 A.D.: Sunken Dragon,333
7 Days to Die,127
Age of Chivalry,33
Age of Conan: Hyborian Adventures,160
Age of Empires II: HD Edition,8885
Age of Empires Online,591
Alien Breed 2: Assault,65
Alien Breed: Impact,216
Alien Swarm,976
Always Sometimes Monsters,0
Ancient Space,347
Arma 2,6
Arma 2: DayZ Mod,36
Arma 2: Operation Arrowhead,355
Arma 2: Operation Arrowhead Beta (Obsolete),1
Arma 3,177
Assassin's Creed,0
Assassin's Creed II,98
Assassin's Creed® III,1064
BRINK,589
Banished,348
Battlefield: Bad Company 2,25147
Blackguards,0
Bloody Good Time,0
Borderlands,2656
Borderlands 2,1938
Borderlands: The Pre-Sequel,183
Brothers in Arms: Hell's Highway,0
Bus Driver,0
Call of Duty 2,0
Call of Duty 4: Modern Warfare,0
Call of Duty: Black Ops,110
Call of Duty: Black Ops - Multiplayer,1804
Call of Duty: World at War,16
Carrier Command: Gaea Mission,11
Castle Story,1
Chivalry BETA,3
Chivalry: Medieval Warfare,5070
Cities XL Platinum,12
Cities: Skylines,358
City Life,0
City Life 2008,0
Command and Conquer: Red Alert 3,82
Company of Heroes,0
Company of Heroes (New Steam Version),0
Company of Heroes 2,1099
Company of Heroes 2 - Beta,0
Company of Heroes: Opposing Fronts,0
Company of Heroes: Tales of Valor,15133
Contagion,292
Counter-Strike,0
Counter-Strike: Global Offensive,1379
Counter-Strike: Source,283
Crusader Kings II,0
Crysis,14
Crysis Warhead,0
Crysis Wars,0
DARK SOULS™ II,225
Darkest Hour: Europe '44-'45,1344
Dawn of Discovery,76
Day of Defeat,0
Day of Defeat: Source,389
Dead Island,1236
Dead Island Riptide,411
Dead Island: Epidemic,0
Dead Space,50
Deathmatch Classic,0
Defense Grid: The Awakening,322
Defiance,299
Digital Combat Simulator: A-10C Warthog,0
Dino D-Day,497
Dota 2,155
Dota 2 Test,0
Dragon Age: Origins,626
Dungeon Defenders,2548
Empire: Total War,7046
Endless Space,36
Euro Truck Simulator,0
Euro Truck Simulator 2,1407
Evolve,1313
Fallout 3,2
Far Cry 2,38
Far Cry® 3,813
Farming Simulator 15,2846
Fistful of Frags,0
Frontlines: Fuel of War,0
GRID 2,0
Garry's Mod,0
Global Agenda,245
Grand Ages: Rome,170
Grand Theft Auto,0
Grand Theft Auto 2,0
Grand Theft Auto III,0
Grand Theft Auto III (duplicate),0
Grand Theft Auto IV,27
Grand Theft Auto: San Andreas,0
Grand Theft Auto: San Andreas (duplicate),0
Grand Theft Auto: Vice City,0
Grand Theft Auto: Vice City (duplicate),0
H1Z1,1348
H1Z1 Test Server,0
Half-Life,0
Half-Life 2,0
Half-Life 2: Deathmatch,0
Half-Life 2: Episode One,0
Half-Life 2: Episode Two,0
Half-Life 2: Lost Coast,0
Half-Life: Blue Shift,0
Half-Life: Opposing Force,0
Hearts of Iron III,0
Homefront,562
Impire,0
Infestation: Survivor Stories,36
Insurgency,2369
Iron Grip: Warlord,564
Kane & Lynch 2: Dog Days,225
Killing Floor,5496
Killing Floor 2,1146
Killing Floor Mod: Defence Alliance 2,7
Knights of Pen and Paper +1,0
Lara Croft and the Guardian of Light,289
Lead and Gold - Gangs of the Wild West,211
Left 4 Dead,9984
Left 4 Dead 2,12789
Left 4 Dead 2 Beta,0
Lone Survivor: The Director's Cut,0
Magicka,473
Mare Nostrum,0
Medal of Honor(TM) Multiplayer,15
Medal of Honor(TM) Single Player,0
Medieval II: Total War,5
Metro 2033,38
Middle-earth: Shadow of Mordor,98
Monday Night Combat,739
Mount & Blade: Warband,461
Napoleon: Total War,2635
Nation Red,108
Natural Selection 2,706
Nether,45
Nuclear Dawn,658
ORION: Prelude,0
Operation Flashpoint: Dragon Rising,0
Orcs Must Die!,705
Orcs Must Die! 2,914
PAYDAY 2,3661
PAYDAY: The Heist,2344
Painkiller: Recurring Evil,0
Peggle Deluxe,0
"Pirates, Vikings, & Knights II",782
Plague Inc: Evolved,1
Planetary Annihilation,0
Poker Night at the Inventory,0
Portal,69
Portal 2,763
RIFT™,32866
Red Orchestra 2: Heroes of Stalingrad - Single Player,0
Red Orchestra 2: Heroes of Stalingrad Beta,3083
Red Orchestra: Ostfront 41-45,912
Resident Evil 5 / Biohazard 5,920
Resident Evil 6 / Biohazard 6,33
Resident Evil Revelations / Biohazard Revelations UE,3
Ricochet,0
Rising Storm Beta,1515
Rising Storm/Red Orchestra 2 Multiplayer,7570
RollerCoaster Tycoon 3: Platinum!,0
Rome: Total War,0
Rust,3135
Ryse: Son of Rome,0
S.T.A.L.K.E.R.: Shadow of Chernobyl,0
Saints Row IV,0
Sanctum,864
Sanctum 2,712
Savage 2: A Tortured Soul,0
Scania Truck Driving Simulator,0
Shoot Many Robots,1575
Sid Meier's Civilization IV,0
Sid Meier's Civilization IV (duplicate),0
Sid Meier's Civilization IV: Colonization,0
Sid Meier's Civilization V,8025
Sid Meier's Civilization: Beyond Earth,467
Sid Meier's Pirates!,0
Sid Meier's Railroads!,0
Sniper Elite 3,95
Sniper Elite V2,694
Sniper Elite: Nazi Zombie Army 2,60
Spintires,1105
Starbound,1465
Starbound - Unstable,0
Stronghold 3,787
Super Monday Night Combat,17
Supreme Commander 2,1948
Surgeon Simulator,141
Team Fortress 2,28138
Team Fortress Classic,0
Terraria,2374
Tesla Effect,0
The Crew,1096
The Elder Scrolls V: Skyrim,4307
The Forest,203
The Lord of the Rings: War in the North,392
The Settlers 7: Paths to a Kingdom,135
The Settlers: Rise of an Empire,0
The Settlers: Rise of an Empire Gold Edition  ,0
The Ship,0
The Ship Tutorial,0
Tom Clancy's Rainbow Six: Vegas 2,0
Tomb Raider,213
Tomb Raider: Legend,0
Torchlight II,280
Total War: ATTILA,145
Total War: ROME II - Emperor Edition,7075
Total War: SHOGUN 2,4079
Tower Wars,224
Tower Wars Editor,0
Toy Soldiers,312
Trapped Dead,59
Tropico 3 - Steam Special Edition,0
Tropico 3: Absolute Power,80
Tropico 5,542
Trucks & Trailers,0
Universe at War: Earth Assault,10
Verdun,143
Victoria II,0
War of the Roses,1859
War of the Roses Balance Beta,737
Wargame: AirLand Battle,0
Wargame: European Escalation,0
