Game,Minutes Played
A Bird Story,0
AaAaAA!!! - A Reckless Disregard for Gravity,32
Alan Wake,0
Alan Wake's American Nightmare,0
Alien Breed 2: Assault,84
Alien Swarm,141
Aliens: Colonial Marines,391
Alpha Protocol,0
And Yet It Moves,0
Antichamber,320
Arma 2,3
Arma 2: DayZ Mod,0
Arma 2: Operation Arrowhead,3
Arma 2: Operation Arrowhead Beta (Obsolete),0
Arx Fatalis,0
Assassin's Creed IV Black Flag,0
Assassin's Creed® III,1688
Atom Zombie Smasher ,0
Audiosurf,5
Awesomenauts,889
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,0
BIT.TRIP RUNNER,0
Banished,99
Bastion,576
Batman: Arkham Asylum GOTY Edition,1011
Batman: Arkham City GOTY,1264
Batman™: Arkham Origins,0
BattleBlock Theater,0
Battlefield: Bad Company 2,1275
Beat Hazard,0
Betrayer,0
BioShock,0
BioShock 2,0
BioShock Infinite,1345
Blazing Angels 2: Secret Missions of WWII,10
Blazing Angels: Squadrons of WWII,8
Borderlands,675
Borderlands 2,1541
Braid,487
Breath of Death VII ,0
Bridge Constructor,79
Broken Age,567
Brütal Legend,0
Bully: Scholarship Edition,0
Burnout Paradise: The Ultimate Box,0
Call of Duty: Black Ops II,403
Call of Duty: Black Ops II - Multiplayer,272
Call of Duty: Black Ops II - Zombies,0
Call of Duty: Modern Warfare 2,124
Call of Duty: Modern Warfare 2 - Multiplayer,11
Call of Juarez Gunslinger,294
Cart Life,0
Castle Crashers,201
Castle Story,2
Cave Story+,1
Chivalry BETA,0
Chivalry: Medieval Warfare,1025
Cogs,0
Company of Heroes,16
Company of Heroes (New Steam Version),0
Company of Heroes 2,4
Company of Heroes 2 - Beta,0
Company of Heroes: Opposing Fronts,0
Company of Heroes: Tales of Valor,0
Contagion,0
Counter-Strike: Global Offensive,0
Counter-Strike: Source,118
Crayon Physics Deluxe,218
Cthulhu Saves the World ,0
DARK SOULS™ II,0
Dark Souls: Prepare to Die Edition,563
Darksiders,171
Darksiders II,0
Dead Island,52
Dead Pixels,11
Dead Space,0
Dead Space 2,0
Deadlight,0
Dear Esther,0
Defiance,527
Deus Ex: Game of the Year Edition,0
Dino D-Day,35
Dishonored,1077
Divekick,19
DogFighter,0
Don't Starve,56
Dota 2,2381
Dota 2 Test,0
Duke Nukem Forever,716
Dust: An Elysian Tail,0
Eldritch,0
Evoland,228
FEZ,110
FTL: Faster Than Light,13
FUEL,0
Fable - The Lost Chapters,0
Fallen Enchantress,115
Fallout,8
Fallout 2,0
Fallout 3 - Game of the Year Edition,68
Fallout Tactics,0
Fallout: New Vegas,999
Far Cry,0
Game Dev Tycoon,62
Garry's Mod,1604
Geometry Wars: Retro Evolved,4
Gods Will Be Watching,0
Godus,0
Gone Home,176
Grand Theft Auto,0
Grand Theft Auto 2,0
Grand Theft Auto III,0
Grand Theft Auto III (duplicate),0
Grand Theft Auto IV,46
Grand Theft Auto: Episodes from Liberty City,0
Grand Theft Auto: San Andreas,0
Grand Theft Auto: San Andreas (duplicate),0
Grand Theft Auto: Vice City,0
Grand Theft Auto: Vice City (duplicate),0
Grow Home,1586
Guncraft,0
Gunman Clive,0
Gunpoint,593
Guns of Icarus Online,89
Hack 'n' Slash,0
Half-Life,432
Half-Life 2,130
Half-Life 2: Deathmatch,65
Half-Life 2: Episode One,0
Half-Life 2: Episode Two,0
Half-Life 2: Lost Coast,0
Half-Life Deathmatch: Source,0
Half-Life: Blue Shift,0
Half-Life: Opposing Force,0
Half-Life: Source,13
Halo: Spartan Assault,0
Hammerfight,0
Hitman: Absolution,0
Hitman: Sniper Challenge,0
Home,0
Homefront,0
Hotline Miami,468
Injustice: Gods Among Us Ultimate Edition,0
Insanely Twisted Shadow Planet,0
Insurgency,4
Iron Brigade,0
Jazzpunk,0
Just Cause 2,129
Kerbal Space Program,0
Killing Floor,381
Killing Floor Mod: Defence Alliance 2,0
Kingdoms of Amalur: Reckoning™,0
L.A. Noire,3
LEGO Lord of the Rings,280
LEGO MARVEL Super Heroes,0
LIMBO,0
LUFTRAUSERS,38
La-Mulana,0
Lara Croft and the Guardian of Light,0
Left 4 Dead,0
Left 4 Dead 2,419
Left 4 Dead 2 Beta,0
Little Inferno,34
Loadout,17
Love,72
Lovely Planet,52
METAL GEAR RISING: REVENGEANCE,88
Machinarium,0
Mafia II,0
Mark of the Ninja,1
Mass Effect,0
Mass Effect 2,0
Max Payne,0
Max Payne 2: The Fall of Max Payne,0
Max Payne 3,0
McPixel,2
Medal of Honor: Airborne,29
Medieval Engineers,0
Medieval Engineers - Mod SDK,0
Metro 2033,0
Metro: Last Light,0
Microsoft Flight Simulator X: Steam Edition,0
Monaco,138
Mortal Kombat Komplete Edition,0
Mount Your Friends,0
Natural Selection 2,0
Next Car Game Sneak Peek 2.0,0
Next Car Game: Wreckfest,0
Nidhogg,354
No Time to Explain,42
Octodad: Dadliest Catch,0
"On the Rain-Slick Precipice of Darkness, Episode One",12
"On the Rain-Slick Precipice of Darkness, Episode Two",0
Operation Flashpoint: Dragon Rising,15
Orcs Must Die!,225
Orcs Must Die! 2,0
Organ Trail: Director's Cut,0
Osmos,0
PAC-MAN Championship Edition DX+,29
PROTOTYPE 2,0
Painkiller Hell & Damnation,80
"Papers, Please",185
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,0
PixelJunk Eden,0
Plants vs. Zombies: Game of the Year,2
Poker Night at the Inventory,0
Portal,423
Portal 2,1010
Prince of Persia,0
Prince of Persia: The Forgotten Sands,0
Prince of Persia: The Sands of Time,0
Prince of Persia: The Two Thrones,0
Prince of Persia: Warrior Within,0
Proteus,55
Prototype,0
Psychonauts,0
Puzzle Bots,0
Q.U.B.E.,0
Q.U.B.E: Director's Cut,0
Quake,0
Quake II,0
Quake II: Ground Zero,0
Quake II: The Reckoning,0
Quake III Arena,0
Quake III: Team Arena,0
Quake Mission Pack 1: Scourge of Armagon,0
Quake Mission Pack 2: Dissolution of Eternity,0
Quantum Conundrum,0
RAGE,825
Race The Sun,16
Ravaged Zombie Apocalypse,78
Receiver,0
Red Faction: Armageddon,0
