Game,Minutes Played
Age of Empires II: HD Edition,144
Anachronox,0
Battlestations: Midway,0
BioShock,0
BioShock 2,0
BioShock Infinite,0
Counter-Strike,0
Counter-Strike: Source,2777
Daikatana,0
Day of Defeat,0
Deathmatch Classic,0
Deus Ex: Game of the Year Edition,0
Deus Ex: Human Revolution - Director's Cut,36
Deus Ex: Invisible War,0
Deus Ex: The Fall,0
DiRT 3,204
DiRT 3 Complete Edition,0
DiRT Showdown,0
Grand Theft Auto IV,56
Half-Life,0
Half-Life 2,0
Half-Life 2: Deathmatch,0
Half-Life 2: Episode One,0
Half-Life 2: Episode Two,82
Half-Life 2: Lost Coast,0
Half-Life Deathmatch: Source,0
Half-Life: Blue Shift,0
Half-Life: Opposing Force,0
Hitman 2: Silent Assassin,0
Hitman: Absolution,0
Hitman: Codename 47,0
Just Cause 2,0
Kane & Lynch 2: Dog Days,0
Lara Croft and the Guardian of Light,0
Mafia II,0
Mini Ninjas,0
Mirror's Edge,470
Nosgoth,0
Operation Flashpoint: Dragon Rising,0
Operation Flashpoint: Red River,0
Overlord,0
Overlord II,0
Overlord: Raising Hell,0
Portal,280
Ricochet,0
Rise of the Argonauts,0
Spec Ops: The Line,0
Team Fortress 2,9
Team Fortress Classic,0
The Bureau: XCOM Declassified,0
The Darkness II,0
Thief Gold,0
Tom Clancy's Splinter Cell: Conviction,41
XCOM: Enemy Unknown,0
